200.003,89
200.008,53
200.013,28
200.018,18
200.033,2
200.047,45
200.052,117
200.057,63
200.062,41
200.067,17
200.072,4
200.077,1
200.121,36
200.126,104
200.131,40
200.136,23
200.141,50
200.146,53
200.151,31
200.156,21
200.16,12
200.165,9
200.17,27
200.175,18
200.18,7
200.185,1
200.19,19
200.195,18
200.2,170
200.205,138
200.21,101
200.215,80
200.219,62
200.224,25
200.229,38
200.234,22
200.239,34
200.244,38
200.249,25
200.254,13
200.259,3
200.298,4
200.303,60
200.308,43
200.313,19
200.318,9
200.323,14
200.328,9
200.332,3
200.352,17
200.357,1
200.554,26
200.559,27
200.564,26
200.588,2
200.672,6
200.677,52
200.682,30
200.687,76
200.692,98
200.696,47
200.701,15
200.706,27
200.711,12
200.716,12
200.721,2
200.726,4
200.731,7
200.736,12
200.741,3
200.746,6
200.77,5
200.775,2
200.805,8
200.81,4
200.815,4
200.82,16
200.824,23
200.938,3
200.943,41
200.948,38
200.952,34
200.957,39
200.962,3
200.967,1
201.007,13
201.012,22
201.016,32
201.021,27
201.026,7
201.031,12
201.036,21
201.041,11
201.051,7
201.061,25
201.066,20
201.071,9
201.076,4
201.085,55
201.09,32
201.095,18
201.1,15
201.105,93
201.11,172
201.115,141
201.12,104
201.125,88
201.13,74
201.135,19
201.14,8
201.302,47
201.307,30
201.312,24
201.317,8
201.322,5
201.337,3
201.342,1
201.608,15
201.613,1
201.746,6
201.756,4
201.889,2
201.894,1
201.948,24
201.953,87
201.958,75
201.963,66
201.968,7
201.973,13
201.978,1
202.072,7
202.087,13
202.092,166
202.097,97
202.101,60
202.106,15
202.111,18
202.116,3
202.121,65
202.126,61
202.131,51
202.136,21
202.141,2
202.146,14
202.156,1
202.161,1
202.176,43
202.18,138
202.185,127
202.19,45
202.195,25
202.2,5
202.205,9
202.21,5
202.215,20
202.22,13
202.225,24
202.23,17
202.235,3
202.24,5
202.294,40
202.299,54
202.304,23
202.309,16
202.314,11
202.329,4
202.388,3
202.497,7
202.62,5
202.625,8
202.63,7
202.635,16
202.64,29
202.645,11
202.65,11
202.655,14
202.66,30
202.665,121
202.67,126
202.675,66
202.68,55
202.685,30
202.69,18
202.695,21
202.699,16
202.704,8
202.709,14
202.714,3
202.863,8
202.868,11
202.873,1
202.952,22
202.957,32
202.962,1
202.967,3
202.972,4
203.021,5
203.026,3
203.051,45
203.056,114
203.061,62
203.066,56
203.071,22
203.075,15
203.08,12
203.085,39
203.09,54
203.095,48
203.1,20
203.105,14
203.115,2
203.12,2
203.145,5
203.15,24
203.155,20
203.16,25
203.165,7
203.175,4
203.189,56
203.194,24
203.199,14
203.204,2
203.209,3
203.234,4
203.274,73
203.279,147
203.283,57
203.288,46
203.293,21
203.298,13
203.308,1
203.328,7
203.373,11
203.402,5
203.407,27
203.412,17
203.417,26
203.422,27
203.427,39
203.432,41
203.437,23
203.442,29
203.447,6
203.452,4
203.462,8
203.472,21
203.477,9
203.487,2
203.501,4
203.516,4
203.521,3
203.63,7
203.655,35
203.66,17
203.665,9
203.695,2
203.844,54
203.848,54
203.853,20
203.858,8
203.863,10
203.873,3
203.913,11
203.918,9
203.938,5
203.977,2
203.987,25
203.992,31
203.997,8
204.002,10
204.007,4
204.017,1
204.022,2
204.032,6
204.062,18
204.067,11
204.072,103
204.077,85
204.082,79
204.087,38
204.092,24
204.097,12
204.101,26
204.106,18
204.116,8
204.121,1
204.126,3
204.131,1
204.166,35
204.171,129
204.176,60
204.181,30
204.186,26
204.191,5
204.196,2
204.201,1
204.24,6
204.529,3
204.588,4
204.658,109
204.663,198
204.668,129
204.673,113
204.678,61
204.683,53
204.688,32
204.692,19
204.697,3
204.707,3
204.712,7
204.722,2
204.727,7
204.891,8
204.896,1
204.956,8
204.961,25
204.966,11
204.971,1
204.976,40
204.981,48
204.991,5
205.026,11
205.036,15
205.041,70
205.045,68
205.05,19
205.055,19
205.06,8
205.07,3
