100.0761778850, 7760.5225303881, 30130.0292968750
100.9888899309, 6844.8875190839, 27491.9921875000
101.0965629399, 6701.5724581694, 26070.9355468750
102.0917887221, 13210.7673194557, 54704.1914062500
102.9480665550, 8837.9879288469, 29679.1953125000
102.9706837083, 10299.1187834535, 40990.3437500000
103.7871859611, 7295.8700737152, 23385.1523437500
104.0710176617, 6775.1382376077, 24080.3613281250
104.9637503520, 202593.3165022731, 495528.6562500000
105.0702373593, 31347.3861966394, 112661.6953125000
107.0526633405, 24755.9712607525, 86235.1718750000
107.0706952042, 46096.6418313310, 170630.1406250000
107.0858244582, 29268.8251656368, 59303.8828125000
108.0671310945, 5211.6157950787, 20166.5605468750
108.0811752901, 11903.4950171076, 43204.9726562500
108.9585782930, 11256.7213754561, 36879.0507812500
108.9765452112, 29786.3881371282, 69528.0546875000
109.0052732614, 8067.0005232990, 15820.4326171875
109.0287857494, 38523.5510470197, 127325.5078125000
109.0650320623, 8365.3449876085, 30193.8906250000
109.0763768087, 141637.5250831842, 429512.9062500000
109.1015252528, 48686.4047321603, 179482.8750000000
109.9843943037, 26626.8046346530, 53121.1054687500
111.0235810726, 345359.6708689928, 1112036.5000000000
111.0443783807, 48820.8438730314, 180153.9687500000
111.9754481321, 8346.6102157608, 31446.8437500000
112.0759971279, 11751.9951312318, 38886.1640625000
112.9684166583, 5197.1156708682, 19129.4140625000
112.9714810699, 100764.7769852728, 381272.1562500000
113.0001110069, 2666879.9602928162, 7140699.0000000000
113.0599789676, 19741.2678200454, 49179.0781250000
113.1326390932, 5446.8054869138, 22710.8476562500
113.9428766521, 9755.1545213293, 39197.6171875000
113.9791794208, 8761.4312249254, 30210.0000000000
114.0034797526, 31121.9824433587, 57514.5507812500
114.0591228203, 6592.3962241951, 22937.6523437500
114.0916397838, 119579.7266274840, 211175.2031250000
114.9711498955, 46510.4428760633, 68720.2812500000
115.0043775766, 9862.7054047566, 30047.1914062500
115.0544391006, 36382.5771653056, 66201.4843750000
115.0755946540, 7771.7715496020, 27583.8886718750
115.0949676304, 9391.2734195031, 38186.7617187500
115.9702251668, 64407.6435655281, 242270.2968750000
116.9377593081, 6370.5735173607, 16196.1533203125
116.9664194367, 509696.8593932390, 1927399.8750000000
117.0549058228, 18832.2332827449, 50191.9023437500
117.0701695138, 6097.5805365983, 24453.3867187500
117.0912243177, 13471.8589948360, 52006.4335937500
117.9458752125, 24765.8491957486, 44089.0156250000
117.9663036005, 51930.0554456860, 188355.0781250000
118.0654839210, 9273.0267891791, 36821.7304687500
118.0864606228, 1000683.7421468496, 3506086.7500000000
118.1219640203, 6659.0836599711, 22720.1464843750
118.9428392299, 121456.7940395176, 219942.8750000000
118.9631028821, 38814.1259335428, 135968.4062500000
118.9792698063, 54280.0030524656, 163325.1875000000
119.0855898953, 43212.3079046458, 156603.3750000000
119.0898397394, 55330.8795903847, 154419.3906250000
119.9303323767, 5874.3120982414, 19798.1738281250
119.9505662688, 6818.2035784069, 27730.9472656250
120.0446742087, 10819.4134118017, 45915.8437500000
120.0558397754, 184216.6326762736, 650767.6875000000
121.0077304358, 52396.1585663855, 168171.6093750000
121.0317828201, 7593.9894786486, 26902.6777343750
121.0285925261, 13565.6211757641, 56285.9375000000
121.0591258256, 6511.5455141570, 26354.2421875000
121.0649135409, 50821.0459319949, 190906.1250000000
121.0761600699, 19150.7191318534, 51899.9648437500
121.1013331394, 28697.0373246148, 94406.3906250000
122.0600729909, 13472.2435339410, 50334.5273437500
122.0840098767, 28656.2131231017, 103366.0546875000
122.0967713144, 7503.5218314324, 28044.5371093750
122.9741771368, 64234.8756798953, 142221.2343750000
123.0235825665, 7324.0564066758, 24822.5039062500
123.0442848742, 9266.4098873939, 30145.0878906250
123.0806484601, 11933.7054070067, 29956.0878906250
123.0918252370, 1178387.9564130306, 3988798.5000000000
123.1170256468, 22887.6680625863, 47667.1562500000
124.0395344875, 7849.2430361239, 19847.8085937500
124.0758748477, 23674.0368904844, 50574.2929687500
124.0890025909, 6781.8961579436, 24807.8964843750
124.0952006947, 73191.7889806330, 269838.2500000000
124.9712302538, 11379.3966828678, 33403.4218750000
124.9916339210, 11083.2247929629, 42716.7812500000
125.0000205850, 87315.6145492345, 231374.9218750000
125.0235836091, 8618.8155720476, 33134.3437500000
125.0390088754, 227269.6796790957, 531014.2500000000
125.0598210440, 24830.0385584533, 33347.6562500000
125.0962016988, 13377.7465354670, 52858.7617187500
125.9907870722, 8888.3599976264, 34641.2343750000
126.0550834570, 29409.4750760756, 87949.7109375000
126.0915477307, 50680.4331367910, 119666.5000000000
126.9779799353, 39255.1497681066, 96716.8593750000
126.9869294175, 197143.5979761183, 576460.6875000000
127.0155719433, 13293664.2524986267, 46364556.0000000000
127.0390332668, 81124.5480155200, 265799.7500000000
127.0545234762, 33146.8357165083, 102369.4765625000
127.1117976435, 7355.4716217229, 24809.8925781250
127.9561881104, 6221.7006816119, 24569.5019531250
127.9583133982, 9415.3964160569, 33747.7929687500
127.9867518597, 8688.3751384299, 32381.3496093750
127.9907911055, 5895.0434139315, 20161.6074218750
127.9949210558, 6422.1760986187, 20001.5957031250
128.0188919914, 270842.6703993678, 1017944.3750000000
128.0621072683, 38272.2558312342, 122819.9375000000
128.0706332567, 8567.3848675005, 29768.2734375000
128.1071076422, 6846.1878675241, 31061.7734375000
128.9866043949, 183887.8144397140, 533569.8750000000
129.0197813814, 116721.6276443005, 430792.7812500000
129.0523421496, 16928.4796227105, 58202.3945312500
129.0547213919, 13647.9306305647, 51221.3710937500
