mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
112.693,757.835,1.40858e+07,5.79701e-06,0.896883,1.31312e+06,0.828401,0.762935,0.763486
112.936,783.426,2.1796e+07,6.96658e-06,0.153107,2.34712e+06,0.836691,0.57023,0.748336
113.3,1441.28,2.15749e+06,1.38857e-05,0.427963,740515,0.834222,0.626058,0.492405
113.417,1454.4,3.1552e+06,9.89602e-06,0.382303,287453,0.808169,0.578635,0.765692
113.649,1137.79,1.40824e+07,9.80655e-06,0.327491,5.94365e+06,0.812692,0.659123,0.410114
113.832,204.877,463209,1.0336e-05,0.224679,45699.8,0.830459,0.738978,0.75781
114.311,785.399,1.53283e+07,1.06183e-05,0.424897,2.3244e+06,0.830645,0.623486,0.701455
114.867,834.84,1.55899e+07,3.13655e-06,0.318448,1.63614e+06,0.842376,0.831063,0.751215
114.867,826.882,2.3558e+07,6.08197e-06,0.275476,3.58482e+06,0.824126,0.773238,0.700885
114.987,1504.99,2.87813e+06,1.1176e-05,0.388046,275779,0.830254,0.439448,0.760778
115.211,839.12,3.553e+07,1.06388e-05,0.999899,7.5745e+06,0.829375,0.33492,0.634387
115.27,761.484,1.59406e+07,1.52176e-05,0.225643,2.03108e+06,0.79007,0.782924,0.727434
115.296,839.091,8.7952e+06,6.49116e-06,0.279326,880390,0.844317,0.833772,0.756303
115.301,1021.41,2.23493e+08,1.35571e-05,2.1943,8.00352e+07,0.762128,0.814858,0.476531
115.412,1043.37,9.25487e+07,1.91168e-05,0.739399,2.64209e+07,0.792861,0.92125,0.555005
115.412,1021.17,6.50486e+07,1.70066e-05,1.41029,1.02251e+07,0.822656,0.962499,0.695461
115.59,788.429,1.64848e+07,6.71515e-06,0.358134,1.82511e+06,0.843528,0.59051,0.745144
116.275,978.763,5.53526e+07,1.15753e-05,0.306348,9.75563e+06,0.813044,0.580762,0.674788
116.414,1056.63,2.8567e+07,9.10234e-06,0.381635,1.97759e+06,0.740879,0.862893,0.788253
116.612,946.773,2.2367e+07,1.0599e-05,0.241338,3.195e+06,0.799816,0.672268,0.710925
116.8,853.33,1.72851e+07,9.05603e-06,0.272321,2.21755e+06,0.837638,0.756217,0.7265
116.802,925.156,2.44481e+07,6.51838e-06,0.598958,1.81909e+06,0.842824,0.625656,0.782949
116.829,910.058,1.87041e+07,8.25378e-06,0.135556,1.19708e+06,0.833323,0.675891,0.79358
118.006,963.962,2.72471e+07,7.81147e-06,0.136022,1.07614e+06,0.819869,0.902437,0.818204
118.07,762.46,5.42574e+07,8.73904e-06,0.480398,4.64848e+06,0.832408,0.993688,0.771329
118.223,900.544,1.89118e+07,1.43386e-05,1.15114,1.17907e+06,0.835651,0.556267,0.795261
118.527,1086.03,2.95252e+07,2.30961e-05,0.318467,4.05045e+06,0.812696,0.547247,0.716995
118.585,966.222,2.54242e+07,9.94747e-06,0.0819673,1.28751e+06,0.759275,0.999563,0.807079
119.563,1529.35,2.35313e+06,8.71756e-06,0.343222,166189,0.840752,0.550987,0.786824
119.827,206.122,975790,1.24685e-05,1.81581,141309,0.840178,0.99927,0.708807
120.749,1052.28,4.64331e+07,2.56317e-05,0.32405,4.26785e+06,0.781873,0.696278,0.764849
120.837,899.936,2.37404e+08,4.95241e-06,0.210533,1.12212e+07,0.82259,0.871402,0.810462
120.962,898.774,6.28837e+07,6.92187e-06,1.46629,1.98471e+07,0.814269,0.756612,0.522174
121.957,777.941,2.11898e+07,3.79422e-05,0.225965,3.3371e+06,0.760413,0.998226,0.695143
122.088,242.719,7.55829e+06,1.01021e-05,3.66918,1.54266e+06,0.835187,0.758105,0.644351
122.856,1163.75,3.77284e+07,1.15236e-05,0.367607,2.72283e+06,0.81407,0.998793,0.785243
