mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
145.018,363.835,1.1907e+07,1.79728e-05,0.955589,902904,0.842256,0.785648,0.781487
145.024,363.393,5.94863e+07,1.24004e-05,0.281795,4.55084e+06,0.837173,0.903298,0.780795
145.992,449.631,1.45062e+07,1.36984e-05,0.57575,1.86442e+06,0.828307,0.795843,0.726251
151.991,127.282,6.81607e+06,1.80714e-05,0.526385,754101,0.82361,0.735217,0.745227
152.034,138.527,3.42576e+07,1.58173e-05,0.445875,6.78685e+06,0.813264,0.990283,0.650911
153.988,128.414,1.77009e+06,2.60647e-05,0.191228,295966,0.820461,0.995033,0.684615
156.013,369.252,1.49747e+07,1.95439e-05,0.162445,1.7413e+06,0.826308,0.631557,0.73926
156.138,690.724,1.11653e+09,1.05365e-05,-3.95704,1.46343e+08,0.835555,0.994749,0.723537
156.138,202.345,6.73907e+08,9.99691e-06,-4.76833,1.00734e+08,0.835027,0.995467,0.703788
156.138,130.572,4.22109e+08,1.0582e-05,2.32301,9.44793e+07,0.82873,0.984007,0.622702
156.138,438.751,1.35229e+08,1.04532e-05,0.00305342,1.1711e+06,0.833828,0.997579,0.848269
156.964,589.101,3.47118e+07,1.14886e-05,1.00252,4.69467e+06,0.832441,0.963551,0.719071
157.037,464.752,1.26388e+07,9.24852e-06,0.477376,2.0464e+06,0.830496,0.849956,0.690351
157.134,194.779,5.85941e+08,1.60696e-05,-3.1118,1.32761e+08,0.830131,0.993314,0.61968
157.134,690.573,1.89849e+09,7.26301e-06,-3.34396,5.16072e+08,0.833882,0.979036,0.569955
157.134,526.277,1.56124e+09,9.05898e-06,5.12788,2.89107e+08,0.828105,0.990111,0.665051
160.115,174.921,1.36031e+09,8.32654e-06,-0.394945,9.1056e+07,0.832501,0.96826,0.790589
160.115,697.756,1.17898e+09,1.15608e-05,-1.24727,1.07636e+08,0.832797,0.991626,0.765492
160.115,495.742,3.05674e+09,8.33767e-06,2.29419,7.72261e+08,0.833202,0.979919,0.591028
161.013,686.151,3.41357e+08,8.30872e-06,-2.24954,2.8418e+07,0.833929,0.995104,0.773838
161.013,401.58,5.97018e+08,9.64663e-06,2.7438,2.24812e+08,0.835183,0.996082,0.457048
161.119,705.079,1.46239e+08,1.77095e-05,-2.66209,6.61801e+07,0.793916,0.94012,0.379763
162.99,537.788,1.02939e+08,1.05507e-05,0.50724,1.87305e+07,0.837484,0.807122,0.668566
163.039,204.884,1.28041e+09,1.32301e-05,-1.4465,4.52375e+08,0.834815,0.967463,0.481643
163.039,688.311,3.19488e+09,7.90376e-06,-5.17783,5.43779e+08,0.829268,0.959156,0.681359
163.039,98.6825,1.88862e+08,3.01228e-05,0.220984,9.28479e+06,0.81239,0.964382,0.808563
163.991,537.107,2.90185e+07,3.07325e-05,0.975681,2.48992e+06,0.821632,0.904645,0.771194
165.979,282.121,2.55517e+08,1.30503e-05,-17.7348,8.59511e+07,0.832023,0.995914,0.499755
165.979,396.664,2.00916e+07,2.22247e-05,0.739826,3.0168e+06,0.823959,0.99422,0.703061
165.979,377.555,5.42607e+07,1.24091e-05,1.98507,6.05646e+06,0.828514,0.991885,0.744191
167.118,200.966,2.68614e+08,2.18566e-05,-4.63278,3.46021e+07,0.831243,0.994084,0.725941
167.118,695.65,6.06346e+08,8.06763e-06,-2.77116,1.96303e+08,0.835302,0.972179,0.513371
168.836,686.417,3.33671e+09,1.02934e-05,-7.68971,1.2529e+09,0.829933,0.995242,0.458169
168.837,267.771,5.4781e+08,1.10958e-05,-7.18506,2.30156e+08,0.837962,0.99793,0.412062
168.836,370.524,9.26068e+07,9.35364e-06,0.484505,1.94459e+07,0.83796,0.999387,0.637901
168.836,343.252,2.56401e+08,9.50491e-06,0.49146,1.66511e+07,0.835935,0.997872,0.792622
168.836,356.067,3.10596e+08,7.15713e-06,0.639944,1.02009e+08,0.835862,0.998256,0.508317
